FOV_cell_label,Event_time,Cell_number,cell_x,cell_y,slip_area
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,174,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,175,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,187,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,188,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,189,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,193,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,194,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,195,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,198,4.0,182.59290780141845,146.59574468085106,slip2_area1
cancer_cancer20220308_slip2_area1_long_acq_cancer20220308_slip2_area1_long_acq_blue_0.112_green_0.0673_LT47D_1_cell_4,200,4.0,182.59290780141845,146.59574468085106,slip2_area1
